period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1213187,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1213152,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1191337,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1192515,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1193781,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1191337,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1190721,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,2380,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,2320,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,2247,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,2380,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,2534,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1205626,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1205390,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1204939,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1205626,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1205333,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1205718,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1205946,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1206977,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1205718,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1205283,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1200421,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1200346,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1199775,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1200421,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1200005,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-5193,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-5031,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-5152,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-5193,megawatthours
2026-01-22,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-5316,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1262328,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1254646,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1247716,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1262328,megawatthours
